"","class","order","family","genus","species","common_name","sp"
"1879","Aves","","","","","Bird","."
"412","Aves","Galliformes","Cracidae","Mitu","tuberosum","Razor-billed Curassow","Mitu.tuberosum"
"362","Aves","Galliformes","Cracidae","Penelope","jacquacu","Spix's Guan","Penelope.jacquacu"
"549","Aves","Galliformes","Cracidae","Pipile","cumanensis","Blue-throated Piping-Guan","Pipile.cumanensis"
"1","Aves","Gruiformes","Psophiidae","Psophia","leucoptera","White-winged Trumpeter","Psophia.leucoptera"
"736","Mammalia","Carnivora","Canidae","Atelocynus","microtis","Short-eared Dog","Atelocynus.microtis"
"24674","Mammalia","Carnivora","Canidae","Speothos","venaticus","Bush Dog","Speothos.venaticus"
"13472","Mammalia","Carnivora","Felidae","Herpailurus","yagouaroundi","Jaguarundi","Herpailurus.yagouaroundi"
"518","Mammalia","Carnivora","Felidae","Leopardus","pardalis","Ocelot","Leopardus.pardalis"
"16828","Mammalia","Carnivora","Felidae","Leopardus","wiedii","Margay","Leopardus.wiedii"
"1258","Mammalia","Carnivora","Felidae","Panthera","onca","Jaguar","Panthera.onca"
"483","Mammalia","Carnivora","Felidae","Puma","concolor","Puma","Puma.concolor"
"765","Mammalia","Carnivora","Mustelidae","Eira","barbara","Tayra","Eira.barbara"
"93129","Mammalia","Carnivora","Mustelidae","Galictis","vittata","Greater Grison","Galictis.vittata"
"121663","Mammalia","Carnivora","Mustelidae","Pteronura","brasiliensis","Giant Otter","Pteronura.brasiliensis"
"613","Mammalia","Carnivora","Procyonidae","Nasua","nasua","South American Coati","Nasua.nasua"
"24","Mammalia","Cetartiodactyla","Cervidae","Mazama","americana","Red Brocket","Mazama.americana"
"17","Mammalia","Cetartiodactyla","Cervidae","Mazama","nemorivaga","Amazonian Brown Brocket","Mazama.nemorivaga"
"3","Mammalia","Cetartiodactyla","Tayassuidae","Pecari","tajacu","Collared Peccary","Pecari.tajacu"
"120941","Mammalia","Cetartiodactyla","Tayassuidae","Tayassu","pecari","White-lipped Peccary","Tayassu.pecari"
"1966","Mammalia","Cingulata","Chlamyphoridae","Priodontes","maximus","Giant Armadillo","Priodontes.maximus"
"1397","Mammalia","Cingulata","Dasypodidae","Dasypus","","Dasypus Species","Dasypus."
"494","Mammalia","Didelphimorphia","Didelphidae","Didelphis","marsupialis","Common Opossum","Didelphis.marsupialis"
"105","Mammalia","Perissodactyla","Tapiridae","Tapirus","terrestris","Lowland Tapir","Tapirus.terrestris"
"457","Mammalia","Pilosa","Myrmecophagidae","Myrmecophaga","tridactyla","Giant Anteater","Myrmecophaga.tridactyla"
"2209","Mammalia","Pilosa","Myrmecophagidae","Tamandua","tetradactyla","Southern Tamandua","Tamandua.tetradactyla"
"3055","Mammalia","Primates","Hominidae","Homo","sapiens","Human-Camera Trapper","Homo.sapiens"
"740","Mammalia","Rodentia","","","","Rodent","."
"465","Mammalia","Rodentia","Cuniculidae","Cuniculus","paca","Spotted Paca","Cuniculus.paca"
"2","Mammalia","Rodentia","Dasyproctidae","Dasyprocta","variegata","Brown Agouti","Dasyprocta.variegata"
"1368","Mammalia","Rodentia","Dinomyidae","Dinomys","branickii","Pacarana","Dinomys.branickii"
"1679","No CV Result","No CV Result","No CV Result","No CV Result","No CV Result","No CV Result","No CV Result.No CV Result"
