"common_name","mean","sd"
"Tapeti",0.243070234113712,0.0726648840022061
"Grey Tinamou",1.06359671109823,0.792155395118197
"Southern Tamandua",1.27781632653061,0.791154846571545
"Razor-billed Curassow",1.29453040843011,0.996600629724198
"White-winged Trumpeter",1.62936744228814,1.50643465055294
"Capybara",1.8,NA
"Margay",1.92243109243697,1.30368771636144
"Brown Agouti",1.96079561870599,1.50770358853429
"South American Coati",1.97115043072869,1.96362079082695
"Spotted Paca",2.05460554870376,1.71457827791246
"Red Brocket",2.06652077073243,1.4686092675924
"Amazonian Brown Brocket",2.10625112190114,1.62831548371387
"Giant Anteater",2.12748038961039,1.0191554171987
"Common Opossum",2.12934850229362,1.87547553962688
"Collared Peccary",2.14391198752141,1.68789069657959
"Great Tinamou",2.205,0.878226622233692
"Dasypus Species",2.51129655561829,1.90750541908221
"Ocelot",2.78014274008886,1.74223277652315
"Puma",2.90349165770815,1.71711752863908
"Lowland Tapir",2.92103098130064,2.41966519843762
"Green Acouchi",3,NA
"Tayra",3.03463903560554,2.9070681287131
"Giant Armadillo",3.49369714285714,2.06711679633674
"Jaguar",3.51636686507937,1.6400770780589
"Short-eared Dog",3.54373053020499,2.11935942609202
"White-lipped Peccary",4.4568,3.77764726781101
"Jaguarundi",4.56714,3.39360424858291
"Greater Grison",4.734,3.64018570954835
"Crab-eating Raccoon",4.75875,1.30727129931013
"Giant Otter",9.72,NA
